Name,NPC_NAME,DIVISION,DIV,Area of NPC
kml_1,Bukit Merah West Neighbourhood Police Centre,Clementi Divisional HQ,D,11887951
kml_2,Bukit Merah East Neighbourhood Police Centre,Central Divisional HQ,A,6872514
kml_3,Jurong East Neighbourhood Police Centre,Clementi Divisional HQ,D,31216740
kml_4,Marina Bay Neighbourhood Police Centre,Central Divisional HQ,A,7139943
kml_5,Jurong West Neighbourhood Police Centre,Jurong Divisional HQ,J,323574
kml_6,Jurong East Neighbourhood Police Centre,Clementi Divisional HQ,D,563560
kml_7,Orchard Neighbourhood Police Centre,Tanglin Divisional HQ,E,5851841
kml_8,Marine Parade Neighbourhood Police Centre,Bedok Divisional HQ,G,11749515
kml_9,Bedok South Neighbourhood Police Centre,Bedok Divisional HQ,G,11989302
kml_10,Queenstown Neighbourhood Police Centre,Clementi Divisional HQ,D,26000909
kml_11,Kampong Java Neighbourhood Police Centre,Tanglin Divisional HQ,E,9494949
kml_12,Clementi Neighbourhood Police Centre,Clementi Divisional HQ,D,12572911
kml_13,Bukit Timah Neighbourhood Police Centre,Tanglin Divisional HQ,E,18295442
kml_14,Jurong West Neighbourhood Police Centre,Jurong Divisional HQ,J,27851101
kml_15,Rochor Neighbourhood Police Centre,Central Divisional HQ,A,5823799
kml_16,Geylang Neighbourhood Police Centre,Bedok Divisional HQ,G,9837338
kml_17,Nanyang Neighbourhood Police Centre,Jurong Divisional HQ,J,62976263
kml_18,Toa Payoh Neighbourhood Police Centre,Tanglin Divisional HQ,E,8220827
kml_19,Bedok North Neighbourhood Police Centre,Bedok Divisional HQ,G,6934719
kml_20,Tampines Neighbourhood Police Centre,Bedok Divisional HQ,G,21482451
kml_21,Hougang Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,11471781
kml_22,Bishan Neighbourhood Police Centre,Tanglin Divisional HQ,E,13324358
kml_23,Ang Mo Kio South Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,2898007
kml_24,Bukit Batok Neighbourhood Police Centre,Jurong Divisional HQ,J,11248600
kml_25,Airport Police Division,Airport Police Division,P,12508248
kml_26,Bukit Panjang Neighbourhood Police Centre,Jurong Divisional HQ,J,10887860
kml_27,Changi Neighbourhood Police Centre,Bedok Divisional HQ,G,44164281
kml_28,Pasir Ris Neighbourhood Police Centre,Bedok Divisional HQ,G,16652658
kml_29,Punggol Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,18863314
kml_30,Choa Chu Kang Neighbourhood Police Centre,Jurong Divisional HQ,J,59408624
kml_31,Woodlands West Neighbourhood Police Centre,Woodlands Divisional HQ,L,50512477
kml_32,Serangoon Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,10094815
kml_33,Sengkang Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,10510437
kml_34,Punggol Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,4019
kml_35,Yishun North Neighbourhood Police Centre,Woodlands Divisional HQ,L,10217998
kml_36,Sembawang Neighbourhood Police Centre,Woodlands Divisional HQ,L,19776395
kml_37,Jurong East Neighbourhood Police Centre,Clementi Divisional HQ,D,16462771
kml_38,Yishun South Neighbourhood Police Centre,Woodlands Divisional HQ,L,12129341
kml_39,Woodlands East Neighbourhood Police Centre,Woodlands Divisional HQ,L,8587171
kml_40,Yishun South Neighbourhood Police Centre,Woodlands Divisional HQ,L,52936
kml_41,Ang Mo Kio North Neighbourhood Police Centre,Ang Mo Kio Divisional HQ,F,32200512
