Name,PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,Area of Planning Area
kml_1,BUKIT MERAH,BM,N,CENTRAL REGION,CR,17774660.61
kml_2,BUKIT PANJANG,BP,N,WEST REGION,WR,9019929.73
kml_3,BUKIT TIMAH,BT,N,CENTRAL REGION,CR,17514936.54
kml_4,CENTRAL WATER CATCHMENT,CC,N,NORTH REGION,NR,37158674.92
kml_5,CHANGI,CH,N,EAST REGION,ER,62986233.19
kml_6,CHOA CHU KANG,CK,N,WEST REGION,WR,6117280.049
kml_7,CLEMENTI,CL,N,WEST REGION,WR,9524177.748
kml_8,HOUGANG,HG,N,NORTH-EAST REGION,NER,13933022.85
kml_9,JURONG EAST,JE,N,WEST REGION,WR,22949603.41
kml_10,JURONG WEST,JW,N,WEST REGION,WR,14680284.49
kml_11,KALLANG,KL,N,CENTRAL REGION,CR,8584699.851
kml_12,LIM CHU KANG,LK,N,NORTH REGION,NR,22912466.29
kml_13,MANDAI,MD,N,NORTH REGION,NR,11767303.92
kml_14,NORTH-EASTERN ISLANDS,NE,N,NORTH-EAST REGION,NER,103052376.1
kml_15,NOVENA,NV,N,CENTRAL REGION,CR,8968011.812
kml_16,PASIR RIS,PR,N,EAST REGION,ER,20489871.34
kml_17,PIONEER,PN,N,WEST REGION,WR,16630522.06
kml_18,PUNGGOL,PG,N,NORTH-EAST REGION,NER,12506232.73
kml_19,ANG MO KIO,AM,N,NORTH-EAST REGION,NER,13942583.37
kml_20,BEDOK,BD,N,EAST REGION,ER,48665179.85
kml_21,BISHAN,BS,N,CENTRAL REGION,CR,7608112.53
kml_22,BOON LAY,BL,N,WEST REGION,WR,10212718.35
kml_23,BUKIT BATOK,BK,N,WEST REGION,WR,11140156.28
kml_24,QUEENSTOWN,QT,N,CENTRAL REGION,CR,35789538.98
kml_25,SELETAR,SL,N,NORTH-EAST REGION,NER,13859883.02
kml_26,SEMBAWANG,SB,N,NORTH REGION,NR,18058884.27
kml_27,SENGKANG,SE,N,NORTH-EAST REGION,NER,10603045.04
kml_28,SERANGOON,SG,N,NORTH-EAST REGION,NER,10100540.69
kml_29,SIMPANG,SM,N,NORTH REGION,NR,12390015.39
kml_30,SOUTHERN ISLANDS,SI,N,CENTRAL REGION,CR,51867651.26
kml_31,SUNGEI KADUT,SK,N,NORTH REGION,NR,18940655.61
kml_32,TAMPINES,TM,N,EAST REGION,ER,30676070.77
kml_33,TANGLIN,TN,N,CENTRAL REGION,CR,7552299.281
kml_34,TENGAH,TH,N,WEST REGION,WR,7363439.42
kml_35,TOA PAYOH,TP,N,CENTRAL REGION,CR,8180210.366
kml_36,TUAS,TS,N,WEST REGION,WR,86166860.73
kml_37,DOWNTOWN CORE,DT,Y,CENTRAL REGION,CR,5083636.289
kml_38,MARINA EAST,ME,Y,CENTRAL REGION,CR,7219914.58
kml_39,MARINA SOUTH,MS,Y,CENTRAL REGION,CR,8972257.749
kml_40,MUSEUM,MU,Y,CENTRAL REGION,CR,829538.9664
kml_41,NEWTON,NT,Y,CENTRAL REGION,CR,2068721.477
kml_42,ORCHARD,OR,Y,CENTRAL REGION,CR,957525.506
kml_43,OUTRAM,OT,Y,CENTRAL REGION,CR,1373186.232
kml_44,RIVER VALLEY,RV,Y,CENTRAL REGION,CR,1475697.965
kml_45,ROCHOR,RC,Y,CENTRAL REGION,CR,1588460.629
kml_46,SINGAPORE RIVER,SR,Y,CENTRAL REGION,CR,957581.0408
kml_47,STRAITS VIEW,SV,Y,CENTRAL REGION,CR,14398319.63
kml_48,CHANGI BAY,CB,N,EAST REGION,ER,59355600.15
kml_49,MARINE PARADE,MP,N,CENTRAL REGION,CR,35044849.08
kml_50,GEYLANG,GL,N,CENTRAL REGION,CR,9644787.366
kml_51,PAYA LEBAR,PL,N,EAST REGION,ER,11685268.68
kml_52,WESTERN ISLANDS,WI,N,WEST REGION,WR,174446649.8
kml_53,WESTERN WATER CATCHMENT,WC,N,WEST REGION,WR,76833768.54
kml_54,WOODLANDS,WD,N,NORTH REGION,NR,15619408.3
kml_55,YISHUN,YS,N,NORTH REGION,NR,21011029.08
